root	runner	action	mode	class	family	reason	destination	first_line
testdir:codegen/deadstore.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/floats.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/fuse.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/generics.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/ifaces.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue22703.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue25378.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue31618.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue33580.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue38554.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue48054.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue52635.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue54467.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue56440.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue58166.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue59297.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue60324.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue61356.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue63332.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue66585.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue68845.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue69635.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue70409.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue72832.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue74485.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue74788.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue75203.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/issue77375.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/known_bits.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/load_type_from_itab.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/logic.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/mapaccess.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/maps.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/math.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/mathbits.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/memcombine.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/memops.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/moveload.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/multiply.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/race.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/reflect_type.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/regabi_regalloc.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/retpoline.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/rotate.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/schedule.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/select.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/shape_assert.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/shift.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/shortcircuit.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/slices.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/smallintiface.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/spectre.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/stack.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/strings.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/structs.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/switch.go	testdir	asmcheck	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:2026-09-24-g5	linux/amd64/v1
testdir:codegen/typeswitch.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/unique.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/unsafe.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/writebarrier.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:codegen/zerosize.go	testdir	none	interpreted	excluded	asmcheck	test matches generated machine code (asmcheck); an interpreter emits none	recorded-limitation:retained-artifact-row	linux/amd64/v1
testdir:defererrcheck.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:devirt.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:devirtualization.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:devirtualization_with_type_assertions_interleaved.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape2.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape2n.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape4.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape5.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape6.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_array.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_bloop.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_calls.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_closure.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_field.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_goto.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_hash_maphash.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_iface.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_iface_data.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_indir.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_level.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_make_non_const.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_map.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_mutations.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_param.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_reflect.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_runtime_atomic.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_selfassign.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_slice.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_param1.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_param2.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_struct_return.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_sync_atomic.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_unique.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:escape_unsafe.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:finprofiled.go	testdir	run	interpreted	excluded	gc-observation	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)	recorded-limitation:D9-finalizer-makefunc	finprofiled.go:33:28: gosource: original callback signature requires value-semantics parameters and supported results
testdir:fixedbugs/bug385_64.go	testdir	errorcheck	interpreted	excluded	gc-only-check	errorcheck expects a gc-only diagnostic go/types cannot express	recorded-limitation:D5-gc-only	compilation succeeded unexpectedly
testdir:fixedbugs/bug398.go	testdir	errorcheck	interpreted	excluded	gc-only-check	errorcheck expects a gc-only diagnostic go/types cannot express	recorded-limitation:D5-gc-only	compilation succeeded unexpectedly
testdir:fixedbugs/bug513.go	testdir	run	interpreted	excluded	unsafe-reinterpretation	unsafe.Pointer memory reinterpretation: the interpreter has no native memory model	recorded-limitation:D7-unsafe-pointer	fixedbugs/bug513.go:20:7: fixedbugs/bug513.go:20:57: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/bug514.go	testdir	run	interpreted	excluded	cgo	"import ""C"" / //go:build cgo: the pure-Go product declares cgo out of scope"	recorded-limitation:D4-cgo	"bash++ import ""runtime/cgo"": package requires cgo, which this pure-Go shell does not provide"
testdir:fixedbugs/issue11656.go	testdir	runindir	interpreted	excluded	unsafe-reinterpretation	unsafe.Pointer memory reinterpretation: the interpreter has no native memory model	recorded-limitation:D7-unsafe-pointer	BASHPP-ECOLLECTION-ELEMENT: /srv/sprint162/barrier-d/tmp/Testfixedbugsissue11656.go666978983/001/src/issue11656.dir/issue11656.go:70:31: BASHPP-EEXPR-FORM: unsu
testdir:fixedbugs/issue12006.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue12588.go	testdir	errorcheck	interpreted	excluded	compiler-diagnostic	test asserts gc optimizer output (-m/-d=); an interpreter has no optimizer to report on	recorded-limitation:retained-artifact-row	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
